Todo Id, Todo Name, Status
964223d6-069f-4912-911c-7c7ee202fdb3, test1, False
73a4afa3-c200-4887-a6de-f9b7b2236787, test2, False
851fdc64-54da-4a34-82a4-eb9ac77a97cf,meow,False
f9219eee-c9e5-4cd7-bc06-954989379993,meow,False
16b4b5cb-a898-43b6-9a34-0bb4ed760659,meow,False
e2eddab1-6369-441d-9a9a-7f1a5bc143e6,Laundry,False
a5bc2330-68d5-4e6f-a40b-bf6a57615102,Study for finals,False
25c4fa84-a0cd-41d7-91ec-d5a207bdc7de,Take out the trash,False
3e5266f4-f3a3-4e8b-beee-93785bf6d50a,Pay rent,False
2b2c8bb1-b46c-4603-ba47-273792f4df26,Walk the dog,False
5a1eace4-85b7-4715-bbfe-f58c19a0f07e,Take a walk ,False
61392c59-5071-4708-a17d-013ed621c9f3,Take out the trash ,False
95bbe844-a7b9-43e9-821d-03b9cd069710,Take out the trash ,False
7ca8ebfa-afe7-4d27-9b5f-2b9f8b0dea22,Take out the trash ,False
988ef026-f4e9-4ffd-b4cc-45cdd0aed462,Take out the trash ,False
e587a8dd-a865-40ae-8169-378ad0aa18a4,take out the trash,False
70367611-58db-40a9-a2d1-630e4fcb6d9e,Take out the trash,False
